Input,Keyword,CPC,"Search Volume",Source,"Monthly January","Monthly February","Monthly March","Monthly April","Monthly May","Monthly June","Monthly July","Monthly August","Monthly September","Monthly October","Monthly November","Monthly December"
"hohner rocket","hohner rocket","0.00 Kč",10,Google,20,20,20,10,10,10,10,10,10,10,10,10
"hohner rocket","hohner rocket a","0.00 Kč",10,Google,10,10,10,10,0,10,10,10,20,10,10,10
"hohner rocket","hohner rocket c","0.00 Kč",10,Google,10,10,10,10,10,10,10,10,10,10,10,10
"hohner rocket","hohner rocket amp","0.00 Kč",10,Google,10,10,10,10,10,10,0,0,10,10,10,10
"hohner rocket","hohner rocket low","0.00 Kč",10,Google,20,20,0,0,20,20,0,20,20,0,20,20
"hohner rocket","hohner rocket low c","0.00 Kč",10,Google,0,20,0,20,20,0,0,0,0,0,20,20
"hohner rocket","hohner rocket progressive","0.00 Kč",10,Google,0,0,0,20,20,20,0,0,20,0,20,0
"hohner rocket","harmonica hohner rocket","0.00 Kč",10,Google,0,0,0,0,30,30,30,0,0,0,0,30
"hohner rocket","hohner rocket amp c","0.00 Kč",10,Google,30,0,30,30,0,30,0,0,0,0,0,0
"hohner rocket","hohner rocket low f","0.00 Kč",10,Google,30,0,0,0,30,30,0,0,0,0,0,30
"hohner rocket","hohner rocket amp harmonica","0.00 Kč",10,Google,0,60,0,0,0,60,0,0,0,0,0,0
"hohner rocket","hohner rocket low d","0.00 Kč",10,Google,0,0,0,40,0,0,40,0,0,0,0,40
"hohner rocket","hohner rocket harmonica","0.00 Kč",10,Google,0,40,0,0,40,0,40,0,0,0,0,0
"hohner rocket","hohner rocket vs special 20","0.00 Kč",10,Google,0,60,0,0,60,0,0,0,0,0,0,0
"hohner rocket","rocket hohner","0.00 Kč",10,Google,0,0,0,0,0,120,0,0,0,0,0,0
"hohner rocket","hohner rocket g-major","0.0 Kč",1,Seznam,0,0,0,0,1,1,6,1,0,0,0,0
"hohner rocket","hohner rocket","8.7 Kč",0,Seznam,1,1,0,0,0,0,0,1,1,1,1,0
"hohner rocket","hohner rocket c","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,2,0,0,0,0
"hohner rocket","hohner rocket amp","0.0 Kč",1,Seznam,2,0,0,0,0,0,0,1,0,0,3,2
"hohner rocket","sada hohner rocket amp","0.0 Kč",0,Seznam,2,0,0,0,0,0,0,0,0,0,0,0
"hohner rocket","hohner rocket g","0.0 Kč",0,Seznam,0,0,0,0,0,0,2,0,0,0,0,0
"hohner rocket","hohner rocket d-major","0.0 Kč",0,Seznam,0,0,0,0,1,0,0,2,0,0,0,1
"hohner rocket","hohner rocket set","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,2,0,0,0
"hohner rocket","údržba harmonik hohner rocket ample","0.0 Kč",0,Seznam,0,0,0,2,0,0,0,0,0,0,0,0
